#PARAMS:size=2869,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
35300,4995,814.327,301.991,-10050.7
35400,5010,810.574,300.599,-10047.8
35500,5025,817.811,303.283,-10049
35600,5040,811.074,300.784,-10045
35700,5055,818.054,303.373,-10046.1
35800,5070,811.723,301.025,-10042.3
35900,5085,815.622,302.471,-10042.2
36000,5100,809.48,300.193,-10038.3
36100,5115,818.771,303.639,-10040.4
36200,5130,820.4,304.243,-10039.4
36300,5145,811.927,301.101,-10034.7
36400,5160,818.157,303.411,-10035.6
36500,5175,825.74,306.223,-10037
36600,5190,813.89,301.829,-10031
36700,5205,807.619,299.503,-10027
36800,5220,810.071,300.412,-10026.5
36900,5235,805.195,298.604,-10023.2
37000,5250,813.453,301.666,-10024.7
37100,5265,817.846,303.296,-10025
37200,5280,805.397,298.679,-10018.6
37300,5295,800.727,296.947,-10015.5
37400,5310,817.1,303.019,-10020.2
37500,5325,806.591,299.122,-10014.7
37600,5340,803.76,298.072,-10012.1
37700,5355,800.979,297.041,-10009.6
37800,5370,809.792,300.309,-10011.5
37900,5385,800.493,296.861,-10006.4
38000,5400,800.377,296.817,-10004.7
38100,5415,810.955,300.74,-10007.2
38200,5430,799.903,296.642,-10001.5
38300,5445,800.24,296.767,-10000.2
38400,5460,803.051,297.809,-9999.78
38500,5475,818.312,303.469,-10004.1
38600,5490,815.523,302.434,-10001.4
38700,5505,813.073,301.525,-9999.06
38800,5520,819.211,303.802,-9999.98
38900,5535,823.453,305.375,-10000
39000,5550,825.905,306.284,-9999.38
39100,5565,819.603,303.947,-9995.52
39200,5580,814.353,302,-9992.05
39300,5595,830.926,308.146,-9996.93
39400,5610,820.416,304.249,-9991.37
39500,5625,819.084,303.755,-9989.37
39600,5640,829.563,307.641,-9991.78
39700,5655,838.909,311.107,-9993.8
39800,5670,819.337,303.849,-9984.93
39900,5685,825.744,306.225,-9985.65
40000,5700,830.433,307.963,-9986.03
40100,5715,833.681,309.168,-9985.77
40200,5730,836.781,310.318,-9985.51
40300,5745,836.679,310.28,-9983.72
40400,5760,835.911,309.995,-9981.91
40500,5775,845.835,313.675,-9984.25
40600,5790,847.24,314.196,-9983.16
40700,5805,840.751,311.79,-9979.24
