Step,Time,Total Energy,Potential,Kinetic,Temperature
21100,63300,-3248.580092,-3305.578816,56.99872419,477.7484491
21200,63600,-3247.492749,-3305.378869,57.88611919,485.1863627
21300,63900,-3246.27521,-3302.414862,56.13965155,470.5479261
21400,64200,-3245.35263,-3305.650991,60.29836071,505.4051424
21500,64500,-3244.493534,-3302.590216,58.09668215,486.9512465
21600,64800,-3243.60961,-3302.189988,58.5803782,491.0054607
21700,65100,-3242.541481,-3300.583915,58.04243404,486.496553
21800,65400,-3241.56181,-3301.954519,60.39270897,506.1959449
21900,65700,-3240.73574,-3299.338364,58.60262402,491.1919194
22000,66000,-3240.034456,-3301.749153,61.71469702,517.2765041
22100,66300,-3239.221102,-3299.821641,60.60053877,507.9379201
22200,66600,-3238.442012,-3299.271724,60.829712,509.8587904
22300,66900,-3237.580466,-3297.5741,59.99363402,502.8510027
22400,67200,-3236.933651,-3299.051819,62.11816819,520.6582943
22500,67500,-3236.173761,-3297.658518,61.48475667,515.349204
22600,67800,-3235.468452,-3300.528373,65.05992088,545.3152986
22700,68100,-3234.869872,-3297.474602,62.6047302,524.7365302
22800,68400,-3234.176283,-3296.993327,62.8170448,526.5160959
22900,68700,-3233.616753,-3296.777807,63.16105337,529.3994861
23000,69000,-3232.91017,-3297.855013,64.94484243,544.350741
23100,69300,-3232.371044,-3295.309632,62.93858814,527.5348405
23200,69600,-3231.910858,-3296.865447,64.95458816,544.4324271
23300,69900,-3231.364368,-3294.603793,63.2394249,530.0563758
23400,70200,-3230.682394,-3295.561498,64.87910365,543.7997357
23500,70500,-3230.289499,-3296.628886,66.33938698,556.0394499
23600,70800,-3229.768141,-3295.317551,65.54941047,549.4180727
23700,71100,-3229.400795,-3294.574119,65.17332428,546.2658163
23800,71400,-3228.774684,-3294.54892,65.77423645,551.3025055
23900,71700,-3228.30653,-3293.216008,64.909478,544.0543256
24000,72000,-3227.938147,-3294.242216,66.30406928,555.7434261
24100,72300,-3227.487528,-3292.958024,65.47049607,548.7566328
24200,72600,-3226.928112,-3292.49817,65.57005807,549.5911355
24300,72900,-3226.725718,-3295.110545,68.38482642,573.1837901
24400,73200,-3226.394497,-3295.63712,69.24262285,580.3736162
24500,73500,-3226.005733,-3291.330406,65.32467303,547.5343821
24600,73800,-3225.523073,-3290.141583,64.61851041,541.615511
24700,74100,-3225.16978,-3291.854655,66.68487485,558.9352392
24800,74400,-3224.856252,-3291.833138,66.97688595,561.3828001
24900,74700,-3224.446698,-3291.866555,67.41985713,565.0956691
25000,75000,-3224.133794,-3291.978689,67.84489518,568.6582272
25100,75300,-3224.104301,-3294.332619,70.2283179,588.6354552
25200,75600,-3224.093183,-3292.900499,68.80731616,576.724989
25300,75900,-3224.120203,-3291.049449,66.92924612,560.9834955
25400,76200,-3224.198494,-3291.757957,67.55946233,566.2658034
25500,76500,-3224.166551,-3291.880209,67.71365792,567.5582307
25600,76800,-3224.025696,-3291.1128,67.087104,562.3066191
25700,77100,-3224.193995,-3290.686082,66.49208754,557.3193462
25800,77400,-3224.091483,-3290.415139,66.32365646,555.9076008
25900,77700,-3224.101888,-3291.806535,67.70464642,567.4826986
26000,78000,-3224.141403,-3291.272292,67.13088877,562.6736116
26100,78300,-3224.096178,-3291.56817,67.47199182,565.5326484
26200,78600,-3224.127517,-3292.016807,67.88929006,569.0303335
26300,78900,-3224.147719,-3291.910511,67.76279181,567.9700582
26400,79200,-3224.162166,-3292.079293,67.91712681,569.2636539
26500,79500,-3224.076995,-3290.857451,66.78045581,559.7363739
26600,79800,-3224.025765,-3291.580184,67.55441975,566.2235379
26700,80100,-3224.134923,-3293.39601,69.26108698,580.5283777
26800,80400,-3224.110501,-3290.582721,66.47222,557.1528217
26900,80700,-3224.101283,-3289.951807,65.85052356,551.9419242
27000,81000,-3224.137162,-3289.373322,65.23616006,546.7924894
27100,81300,-3224.139,-3293.267117,69.12811716,579.4138594
27200,81600,-3224.153732,-3292.84216,68.68842865,575.7285049
27300,81900,-3224.061753,-3288.540518,64.47876411,540.444194
27400,82200,-3224.10324,-3292.563906,68.46066593,573.8194572
27500,82500,-3224.011501,-3291.718105,67.70660493,567.4991144
27600,82800,-3224.109764,-3291.836627,67.72686293,567.6689117
27700,83100,-3224.067195,-3292.199885,68.13269001,571.0704484
27800,83400,-3224.070895,-3290.049788,65.97889304,553.0178837
27900,83700,-3224.079065,-3290.188865,66.10979971,554.1151092
28000,84000,-3224.000185,-3290.551155,66.55096984,557.8128823
28100,84300,-3224.027804,-3291.691676,67.66387201,567.1409382
28200,84600,-3224.11249,-3291.277317,67.1648268,562.9580713
28300,84900,-3224.148975,-3291.005594,66.8566186,560.3747505
28400,85200,-3224.139324,-3290.512057,66.37273325,556.3189496
28500,85500,-3224.025366,-3291.559228,67.53386201,566.0512282
28600,85800,-3224.143506,-3292.140143,67.99663746,569.9300915
28700,86100,-3224.148712,-3290.846651,66.69793951,559.0447438
28800,86400,-3224.048398,-3288.974244,64.9258454,544.1915128
28900,86700,-3224.041586,-3289.873118,65.83153174,551.7827396
29000,87000,-3224.146437,-3291.086462,66.94002501,561.0738413
29100,87300,-3224.169084,-3292.023053,67.85396867,568.7342788
29200,87600,-3223.930734,-3290.271511,66.3407772,556.0511023
29300,87900,-3224.042641,-3288.852991,64.81034972,543.2234581
29400,88200,-3224.099212,-3292.372715,68.27350315,572.2507075
29500,88500,-3224.151231,-3290.533863,66.38263207,556.401919
29600,88800,-3223.953948,-3291.109989,67.15604106,562.8844316
29700,89100,-3223.935821,-3292.852166,68.91634569,577.6388461
29800,89400,-3224.122509,-3291.00155,66.87904072,560.5626869
29900,89700,-3224.057367,-3291.651567,67.59419997,566.5569653
30000,90000,-3223.922297,-3292.063738,68.1414414,571.1438004
30100,90300,-3223.164432,-3289.277427,66.11299499,554.1418913
30200,90600,-3222.654188,-3289.908788,67.25460085,563.710534
30300,90900,-3221.891469,-3290.315167,68.42369741,573.5095966
30400,91200,-3221.111859,-3290.547152,69.43529283,581.9885258
30500,91500,-3220.396694,-3288.934294,68.53759991,574.4642977
30600,91800,-3219.747072,-3289.510331,69.76325944,584.7374564
30700,92100,-3219.266266,-3289.937688,70.67142265,592.3494437
30800,92400,-3218.589359,-3287.698421,69.109062,579.254144
30900,92700,-3217.969266,-3286.26874,68.29947456,572.4683931
31000,93000,-3217.457632,-3288.30369,70.84605761,593.8131885
31100,93300,-3216.951406,-3287.201286,70.24987971,588.8161807
31200,93600,-3216.352571,-3287.437103,71.08453245,595.8120224
31300,93900,-3215.747263,-3286.969996,71.22273264,596.9703803
31400,94200,-3215.127427,-3286.691397,71.56397002,599.8305431
31500,94500,-3214.750614,-3285.412941,70.66232634,592.2732008
31600,94800,-3214.21179,-3287.69969,73.48789922,615.9564162
31700,95100,-3213.735966,-3287.955884,74.21991764,622.0920038
31800,95400,-3213.296932,-3284.182991,70.88605923,594.1484716
31900,95700,-3212.958805,-3285.623207,72.66440202,609.0540774
32000,96000,-3212.508305,-3281.975058,69.46675298,582.2522165
32100,96300,-3211.961042,-3283.15347,71.19242836,596.7163778
32200,96600,-3211.581725,-3280.65924,69.07751425,578.989719
32300,96900,-3211.171668,-3284.507108,73.33544028,614.6785451
32400,97200,-3210.895225,-3285.373462,74.47823737,624.2571725
32500,97500,-3210.476839,-3279.921726,69.44488772,582.0689476
32600,97800,-3210.12915,-3281.61354,71.48439058,599.163529
32700,98100,-3209.953424,-3284.990097,75.03667316,628.9378357
32800,98400,-3209.594476,-3284.13483,74.54035401,624.7778179
32900,98700,-3209.327039,-3284.377829,75.05079026,629.0561615
33000,99000,-3208.837207,-3283.276059,74.43885185,623.9270533
33100,99300,-3208.654048,-3284.574615,75.92056628,636.3463974
33200,99600,-3208.459314,-3284.393112,75.93379801,636.4573023
33300,99900,-3208.234748,-3281.648917,73.4141695,615.3384329
33400,100200,-3207.898853,-3281.129648,73.23079478,613.8014338
33500,100500,-3207.50692,-3281.073991,73.56707078,616.6200116
33600,100800,-3207.423987,-3283.53279,76.10880321,637.9241503
33700,101100,-3207.188902,-3281.10501,73.91610882,619.5455574
33800,101400,-3206.785998,-3281.224659,74.43866143,623.9254572
33900,101700,-3206.594045,-3280.947731,74.35368577,623.2132133
34000,102000,-3206.442873,-3281.792507,75.34963396,631.5609915
34100,102300,-3206.306909,-3281.906152,75.59924369,633.6531552
34200,102600,-3206.055771,-3278.347962,72.2921909,605.9343007
34300,102900,-3205.86154,-3280.583096,74.72155596,626.2966055
34400,103200,-3205.715131,-3281.729873,76.01474184,637.1357524
34500,103500,-3205.642818,-3281.026723,75.38390443,631.8482377
34600,103800,-3205.451328,-3280.574734,75.12340623,629.6648096
34700,104100,-3205.099427,-3280.565729,75.46630138,632.5388675
34800,104400,-3205.061956,-3279.077868,74.0159124,620.3820851
34900,104700,-3204.95133,-3280.159747,75.20841693,630.3773472
35000,105000,-3204.681691,-3278.575841,73.89415025,619.3615065
35100,105300,-3204.629698,-3278.567582,73.93788402,619.7280715
35200,105600,-3204.833582,-3280.319542,75.48595965,632.7036379
35300,105900,-3204.867457,-3280.880288,76.01283056,637.1197325
35400,106200,-3204.541683,-3275.932777,71.39109434,598.3815443
35500,106500,-3204.678259,-3278.201454,73.52319529,616.2522586
35600,106800,-3204.85411,-3280.872647,76.018537,637.1675624
35700,107100,-3204.864185,-3280.824646,75.96046124,636.6807865
35800,107400,-3204.55442,-3276.401407,71.84698713,602.2027188
35900,107700,-3204.723204,-3279.143023,74.41981859,623.7675215
36000,108000,-3204.862159,-3279.228686,74.36652685,623.320844
36100,108300,-3204.818135,-3278.85574,74.0376051,620.5639076
36200,108600,-3204.657936,-3280.332044,75.67410752,634.2806443
36300,108900,-3204.729907,-3280.796262,76.066355,637.5683604
36400,109200,-3204.849985,-3281.650275,76.80028925,643.7200061
36500,109500,-3204.713373,-3279.12382,74.41044753,623.6889757
36600,109800,-3204.593654,-3279.431246,74.83759228,627.2691916
36700,110100,-3204.667515,-3279.164778,74.49726299,624.4166402
36800,110400,-3204.678881,-3282.96277,78.28388932,656.1551551
36900,110700,-3204.603135,-3278.045418,73.44228281,615.5740713
37000,111000,-3204.662034,-3277.049271,72.38723632,606.7309467
37100,111300,-3204.634518,-3279.41063,74.77611175,626.7538779
37200,111600,-3204.757438,-3280.744452,75.98701463,636.9033501
37300,111900,-3204.718514,-3281.168806,76.45029129,640.7864144
37400,112200,-3204.591708,-3277.435952,72.84424423,610.5614678
37500,112500,-3204.640889,-3278.778272,74.13738314,621.4002211
37600,112800,-3204.711485,-3282.668212,77.95672716,653.4129671
37700,113100,-3204.718131,-3279.576397,74.8582661,627.4424742
37800,113400,-3204.712523,-3280.623399,75.91087594,636.2651755
37900,113700,-3204.637628,-3280.245497,75.60786919,633.7254519
38000,114000,-3204.757362,-3280.625424,75.86806261,635.9063253
38100,114300,-3204.737936,-3280.943773,76.20583666,638.7374594
38200,114600,-3204.72463,-3277.791513,73.06688255,612.4275642
38300,114900,-3204.662265,-3278.831763,74.16949844,621.6694032
38400,115200,-3204.755838,-3279.613507,74.85766886,627.4374682
38500,115500,-3204.646455,-3281.571216,76.92476062,644.7632926
38600,115800,-3204.709925,-3279.185293,74.47536797,624.2331218
38700,116100,-3204.627885,-3278.489207,73.86132171,619.0863462
38800,116400,-3204.755454,-3280.45447,75.69901661,634.4894259
38900,116700,-3204.777552,-3281.633398,76.85584604,644.1856686
39000,117000,-3204.657251,-3280.392704,75.73545254,634.7948223
39100,117300,-3204.577911,-3279.524495,74.94658366,628.1827289
39200,117600,-3204.659538,-3283.576522,78.91698356,661.461586
39300,117900,-3204.762395,-3282.179366,77.41697099,648.8888716
39400,118200,-3204.752007,-3278.369452,73.61744514,617.0422363
39500,118500,-3204.492729,-3279.049783,74.55705332,624.9177872
39600,118800,-3204.636213,-3277.905758,73.2695451,614.1262289
39700,119100,-3204.795023,-3282.718459,77.92343549,653.1339251
39800,119400,-3204.740153,-3279.168799,74.42864551,623.8415064
39900,119700,-3204.509409,-3280.645073,76.13566389,638.1492895
40000,120000,-3204.617008,-3277.109144,72.49213682,607.6101953
40100,120300,-3204.141623,-3279.241095,75.09947257,629.464204
40200,120600,-3203.556444,-3279.744095,76.18765057,638.5850283
40300,120900,-3202.965994,-3281.452146,78.48615204,657.8504685
40400,121200,-3202.175874,-3278.113168,75.93729345,636.4866002
40500,121500,-3201.886243,-3280.298447,78.41220387,657.2306542
40600,121800,-3201.402425,-3278.550623,77.14819789,646.6360856
40700,122100,-3200.831043,-3278.218476,77.38743256,648.6412882
40800,122400,-3200.232955,-3277.304527,77.07157122,645.9938208
40900,122700,-3199.810094,-3275.84219,76.0320962,637.2812122
41000,123000,-3199.272145,-3277.42653,78.15438448,655.0696793
41100,123300,-3198.835618,-3276.749008,77.9133901,653.0497272
41200,123600,-3198.443431,-3277.753898,79.31046637,664.7596564
41300,123900,-3198.036612,-3274.448746,76.41213384,640.4665885
41400,124200,-3197.644391,-3280.454436,82.81004516,694.0922136
41500,124500,-3197.257724,-3274.879102,77.62137788,650.6021569
41600,124800,-3196.735289,-3273.489048,76.75375884,643.3300002
41700,125100,-3196.436227,-3275.086175,78.64994814,659.2233647
41800,125400,-3196.088168,-3274.528886,78.44071739,657.4696471
41900,125700,-3195.752592,-3274.182318,78.42972563,657.3775171
42000,126000,-3195.234433,-3277.285024,82.05059095,687.7266664
42100,126300,-3195.154956,-3276.212032,81.05707571,679.3992806
42200,126600,-3194.885655,-3276.69269,81.80703425,685.6852376
42300,126900,-3194.425608,-3272.610695,78.18508706,655.3270203
42400,127200,-3194.10768,-3272.183448,78.07576797,654.4107362
42500,127500,-3193.77582,-3274.50154,80.72572004,676.6219437
42600,127800,-3193.648117,-3275.481472,81.83335495,685.9058508
42700,128100,-3193.328734,-3274.729749,81.40101448,682.2820857
42800,128400,-3193.014534,-3270.990441,77.97590671,653.5737251
42900,128700,-3192.774529,-3271.995213,79.22068413,664.007125
43000,129000,-3192.379159,-3270.032319,77.65315936,650.868541
43100,129300,-3192.132568,-3274.750566,82.61799831,692.482527
43200,129600,-3191.795149,-3269.483184,77.68803446,651.160855
43300,129900,-3191.593185,-3274.302688,82.70950323,693.2494974
43400,130200,-3191.305226,-3272.980149,81.67492226,684.5779093
